oid;profile_id;arrival_departure;stage;point;weight_lbs;horizontal_feet;vertical_feet;tas_knots;weight_kgs;horizontal_metres;vertical_metres;tas_metres;power;mode;course
1;COMJET-A-1;A;1;1;0;-114486.8;6000;273.4;0;-34895.57664;1828.8;140.6491111;;AP;ANP2.1
2;COMJET-A-1;A;1;2;0;-57243.4;3000;150.6;0;-17447.78832;914.4;77.47533333;;AP;ANP2.1
3;COMJET-A-1;A;1;3;0;-28621.7;1500;137.1;0;-8723.89416;457.2;70.53033333;;AP;ANP2.1
4;COMJET-A-1;A;1;4;0;-19081.1;1000;125.9;0;-5815.91928;304.8;64.76855555;;AP;ANP2.1
5;COMJET-A-1;A;1;5;0;0;0;124.1;0;0;0;63.84255556;;AP;ANP2.1
6;COMJET-A-1;A;1;6;0;164.6;0;117.7;0;50.17008;0;60.55011111;;AP;ANP2.1
7;COMJET-A-1;A;1;7;0;1646;0;30;0;501.7008;0;15.43333333;;AP;ANP2.1
8;COMJET-D-1;D;1;1;0;0;0;0;0;0;0;0;;TO;ANP2.1
9;COMJET-D-1;D;1;2;0;2826.3;0;139.1;0;861.45624;0;71.55922222;;TO;ANP2.1
10;COMJET-D-1;D;1;3;0;4918;195.8;154.4;0;1499.0064;59.67984;79.43022222;;TO;ANP2.1
11;COMJET-D-1;D;1;4;0;9423.7;1000;156.2;0;2872.3;304.8;80.4;;TO;ANP2.1
12;COMJET-D-1;D;1;5;0;12225;1500;157.4;0;3726.18;457.2;80.97355555;;CL;ANP2.1
13;COMJET-D-1;D;1;6;0;15643.6;1775.1;183.7;0;4768.16928;541.05048;94.50344444;;CL;ANP2.1
14;COMJET-D-1;D;1;7;0;16643.6;1952.6;184.2;0;5072.96928;595.15248;94.76066667;;CL;ANP2.1
15;COMJET-D-1;D;1;8;0;22546.7;3000;187.1;0;6872.23416;914.4;96.25255555;;CL;ANP2.1
16;COMJET-D-1;D;1;9;0;40617.3;4379.5;266.8;0;12380.15304;1334.8716;137.2537778;;CL;ANP2.1
17;COMJET-D-1;D;1;10;0;48888.3;5500;271.4;0;14901.15384;1676.4;139.6202222;;CL;ANP2.1
18;COMJET-D-1;D;1;11;0;64299.7;7500;279.8;0;19598.54856;2286;143.9415556;;CL;ANP2.1
19;COMJET-D-1;D;1;12;0;85030.5;10000;290.9;0;25917.2964;3048;149.6518889;;CL;ANP2.1
20;COMJET-D-2;D;2;1;0;0;0;0;0;0;0;0;;TO;ANP2.1
21;COMJET-D-2;D;2;2;0;2826.3;0;139.1;0;861.45624;0;71.55922222;;TO;ANP2.1
22;COMJET-D-2;D;2;3;0;4918;195.8;154.4;0;1499.0064;59.67984;79.43022222;;TO;ANP2.1
23;COMJET-D-2;D;2;4;0;9423.7;1000;156.2;0;2872.3;304.8;80.4;;TO;ANP2.1
24;COMJET-D-2;D;2;5;0;12225;1500;157.4;0;3726.18;457.2;80.97355555;;CL;ANP2.1
25;COMJET-D-2;D;2;6;0;15643.6;1775.1;183.7;0;4768.16928;541.05048;94.50344444;;CL;ANP2.1
26;COMJET-D-2;D;2;7;0;16643.6;1952.6;184.2;0;5072.96928;595.15248;94.76066667;;CL;ANP2.1
27;COMJET-D-2;D;2;8;0;22546.7;3000;187.1;0;6872.23416;914.4;96.25255555;;CL;ANP2.1
28;COMJET-D-2;D;2;9;0;40617.3;4379.5;266.8;0;12380.15304;1334.8716;137.2537778;;CL;ANP2.1
29;COMJET-D-2;D;2;10;0;48888.3;5500;271.4;0;14901.15384;1676.4;139.6202222;;CL;ANP2.1
30;COMJET-D-2;D;2;11;0;64299.7;7500;279.8;0;19598.54856;2286;143.9415556;;CL;ANP2.1
31;COMJET-D-2;D;2;12;0;85030.5;10000;290.9;0;25917.2964;3048;149.6518889;;CL;ANP2.1
32;COMJET-D-3;D;3;1;0;0;0;0;0;0;0;0;;TO;ANP2.1
33;COMJET-D-3;D;3;2;0;2826.3;0;139.1;0;861.45624;0;71.55922222;;TO;ANP2.1
34;COMJET-D-3;D;3;3;0;4918;195.8;154.4;0;1499.0064;59.67984;79.43022222;;TO;ANP2.1
35;COMJET-D-3;D;3;4;0;9423.7;1000;156.2;0;2872.3;304.8;80.4;;TO;ANP2.1
36;COMJET-D-3;D;3;5;0;12225;1500;157.4;0;3726.18;457.2;80.97355555;;CL;ANP2.1
37;COMJET-D-3;D;3;6;0;15643.6;1775.1;183.7;0;4768.16928;541.05048;94.50344444;;CL;ANP2.1
38;COMJET-D-3;D;3;7;0;16643.6;1952.6;184.2;0;5072.96928;595.15248;94.76066667;;CL;ANP2.1
39;COMJET-D-3;D;3;8;0;22546.7;3000;187.1;0;6872.23416;914.4;96.25255555;;CL;ANP2.1
40;COMJET-D-3;D;3;9;0;40617.3;4379.5;266.8;0;12380.15304;1334.8716;137.2537778;;CL;ANP2.1
41;COMJET-D-3;D;3;10;0;48888.3;5500;271.4;0;14901.15384;1676.4;139.6202222;;CL;ANP2.1
42;COMJET-D-3;D;3;11;0;64299.7;7500;279.8;0;19598.54856;2286;143.9415556;;CL;ANP2.1
43;COMJET-D-3;D;3;12;0;85030.5;10000;290.9;0;25917.2964;3048;149.6518889;;CL;ANP2.1
44;COMJET-D-4;D;4;1;0;0;0;0;0;0;0;0;;TO;ANP2.1
45;COMJET-D-4;D;4;2;0;2826.3;0;139.1;0;861.45624;0;71.55922222;;TO;ANP2.1
46;COMJET-D-4;D;4;3;0;4918;195.8;154.4;0;1499.0064;59.67984;79.43022222;;TO;ANP2.1
47;COMJET-D-4;D;4;4;0;9423.7;1000;156.2;0;2872.3;304.8;80.4;;TO;ANP2.1
48;COMJET-D-4;D;4;5;0;12225;1500;157.4;0;3726.18;457.2;80.97355555;;CL;ANP2.1
49;COMJET-D-4;D;4;6;0;15643.6;1775.1;183.7;0;4768.16928;541.05048;94.50344444;;CL;ANP2.1
50;COMJET-D-4;D;4;7;0;16643.6;1952.6;184.2;0;5072.96928;595.15248;94.76066667;;CL;ANP2.1
51;COMJET-D-4;D;4;8;0;22546.7;3000;187.1;0;6872.23416;914.4;96.25255555;;CL;ANP2.1
52;COMJET-D-4;D;4;9;0;40617.3;4379.5;266.8;0;12380.15304;1334.8716;137.2537778;;CL;ANP2.1
53;COMJET-D-4;D;4;10;0;48888.3;5500;271.4;0;14901.15384;1676.4;139.6202222;;CL;ANP2.1
54;COMJET-D-4;D;4;11;0;64299.7;7500;279.8;0;19598.54856;2286;143.9415556;;CL;ANP2.1
55;COMJET-D-4;D;4;12;0;85030.5;10000;290.9;0;25917.2964;3048;149.6518889;;CL;ANP2.1
56;COMJET-D-5;D;5;1;0;0;0;0;0;0;0;0;;TO;ANP2.1
57;COMJET-D-5;D;5;2;0;2826.3;0;139.1;0;861.45624;0;71.55922222;;TO;ANP2.1
58;COMJET-D-5;D;5;3;0;4918;195.8;154.4;0;1499.0064;59.67984;79.43022222;;TO;ANP2.1
59;COMJET-D-5;D;5;4;0;9423.7;1000;156.2;0;2872.3;304.8;80.4;;TO;ANP2.1
60;COMJET-D-5;D;5;5;0;12225;1500;157.4;0;3726.18;457.2;80.97355555;;CL;ANP2.1
61;COMJET-D-5;D;5;6;0;15643.6;1775.1;183.7;0;4768.16928;541.05048;94.50344444;;CL;ANP2.1
62;COMJET-D-5;D;5;7;0;16643.6;1952.6;184.2;0;5072.96928;595.15248;94.76066667;;CL;ANP2.1
63;COMJET-D-5;D;5;8;0;22546.7;3000;187.1;0;6872.23416;914.4;96.25255555;;CL;ANP2.1
64;COMJET-D-5;D;5;9;0;40617.3;4379.5;266.8;0;12380.15304;1334.8716;137.2537778;;CL;ANP2.1
65;COMJET-D-5;D;5;10;0;48888.3;5500;271.4;0;14901.15384;1676.4;139.6202222;;CL;ANP2.1
66;COMJET-D-5;D;5;11;0;64299.7;7500;279.8;0;19598.54856;2286;143.9415556;;CL;ANP2.1
67;COMJET-D-5;D;5;12;0;85030.5;10000;290.9;0;25917.2964;3048;149.6518889;;CL;ANP2.1
68;COMJET-D-6;D;6;1;0;0;0;0;0;0;0;0;;TO;ANP2.1
69;COMJET-D-6;D;6;2;0;2826.3;0;139.1;0;861.45624;0;71.55922222;;TO;ANP2.1
70;COMJET-D-6;D;6;3;0;4918;195.8;154.4;0;1499.0064;59.67984;79.43022222;;TO;ANP2.1
71;COMJET-D-6;D;6;4;0;9423.7;1000;156.2;0;2872.3;304.8;80.4;;TO;ANP2.1
72;COMJET-D-6;D;6;5;0;12225;1500;157.4;0;3726.18;457.2;80.97355555;;CL;ANP2.1
73;COMJET-D-6;D;6;6;0;15643.6;1775.1;183.7;0;4768.16928;541.05048;94.50344444;;CL;ANP2.1
74;COMJET-D-6;D;6;7;0;16643.6;1952.6;184.2;0;5072.96928;595.15248;94.76066667;;CL;ANP2.1
75;COMJET-D-6;D;6;8;0;22546.7;3000;187.1;0;6872.23416;914.4;96.25255555;;CL;ANP2.1
76;COMJET-D-6;D;6;9;0;40617.3;4379.5;266.8;0;12380.15304;1334.8716;137.2537778;;CL;ANP2.1
77;COMJET-D-6;D;6;10;0;48888.3;5500;271.4;0;14901.15384;1676.4;139.6202222;;CL;ANP2.1
78;COMJET-D-6;D;6;11;0;64299.7;7500;279.8;0;19598.54856;2286;143.9415556;;CL;ANP2.1
79;COMJET-D-6;D;6;12;0;85030.5;10000;290.9;0;25917.2964;3048;149.6518889;;CL;ANP2.1
80;DHC-2FLT-A-1;A;1;1;0;-114486.8;6000;98.4;0;-34895.57664;1828.8;50.62133333;;AP;ANP2.1
81;DHC-2FLT-A-1;A;1;2;0;-57243.4;3000;94.1;0;-17447.78832;914.4;48.40922222;;AP;ANP2.1
82;DHC-2FLT-A-1;A;1;3;0;-56243.4;2947.6;93.8;0;-17142.98832;898.42848;48.25488889;;AP;ANP2.1
83;DHC-2FLT-A-1;A;1;4;0;-28621.7;1500;86.9;0;-8723.89416;457.2;44.70522222;;AP;ANP2.1
84;DHC-2FLT-A-1;A;1;5;0;-27621.7;1447.6;86.3;0;-8419.09416;441.22848;44.39655556;;AP;ANP2.1
85;DHC-2FLT-A-1;A;1;6;0;-19081.1;1000;81.2;0;-5815.91928;304.8;41.77288889;;AP;ANP2.1
86;DHC-2FLT-A-1;A;1;7;0;-18081.1;947.6;80.9;0;-5511.11928;288.82848;41.61855556;;AP;ANP2.1
87;DHC-2FLT-A-1;A;1;8;0;-9540.6;500;78.6;0;-2907.97488;152.4;40.43533333;;AP;ANP2.1
88;DHC-2FLT-A-1;A;1;9;0;-8540.6;447.6;78.5;0;-2603.17488;136.42848;40.38388889;;AP;ANP2.1
89;DHC-2FLT-A-1;A;1;10;0;0;0;78.2;0;0;0;40.22955556;;AP;ANP2.1
90;DHC-2FLT-A-1;A;1;11;0;150;0;70;0;45.72;0;36.01111111;;AP;ANP2.1
91;DHC-2FLT-A-1;A;1;12;0;1150;0;10;0;350.52;0;5.144444444;;AP;ANP2.1
92;DHC-2FLT-D-1;D;1;1;0;0;0;0;0;0;0;0;;TO;ANP2.1
93;DHC-2FLT-D-1;D;1;2;0;1597.3;0;61;0;486.85704;0;31.38111111;;TO;ANP2.1
94;DHC-2FLT-D-1;D;1;3;0;2014;34.4;65;0;613.8672;10.48512;33.43888889;;TO;ANP2.1
95;DHC-2FLT-D-1;D;1;4;0;5826.5;500;65.5;0;1775.9172;152.4;33.69611111;;TO;ANP2.1
96;DHC-2FLT-D-1;D;1;5;0;6411.2;512.5;70.5;0;1954.13376;156.21;36.26833333;;TO;ANP2.1
97;DHC-2FLT-D-1;D;1;6;0;14512.7;1000;71;0;4423.47096;304.8;36.52555556;;TO;ANP2.1
98;DHC-2FLT-D-1;D;1;7;0;14744.7;1003.3;73.1;0;4494.18456;305.80584;37.60588889;;CL;ANP2.1
99;DHC-2FLT-D-1;D;1;8;0;47619.4;3000;75.3;0;14514.39312;914.4;38.73766667;;CL;ANP2.1
100;DHC-2FLT-D-1;D;1;9;0;48619.4;3028.9;75.3;0;14819.19312;923.20872;38.73766667;;CL;ANP2.1
101;DHC-2FLT-D-1;D;1;10;0;134016.9;5500;78.2;0;40848.35112;1676.4;40.22955556;;CL;ANP2.1
102;DHC-2FLT-D-1;D;1;11;0;224393.4;7500;80.6;0;68395.10832;2286;41.46422222;;CL;ANP2.1
103;DHC-2FLT-D-1;D;1;12;0;386211.5;10000;83.8;0;117717.2652;3048;43.11044444;;CL;ANP2.1
104;GASEPF-A-1;A;1;1;0;-114486.8;6000;109.4;0;-34895.57664;1828.8;56.28022222;;AP;ANP2.1
105;GASEPF-A-1;A;1;2;0;-57243.4;3000;71.8;0;-17447.78832;914.4;36.93711111;;AP;ANP2.1
106;GASEPF-A-1;A;1;3;0;-28621.7;1500;60;0;-8723.89416;457.2;30.86666667;;AP;ANP2.1
107;GASEPF-A-1;A;1;4;0;-19081.1;1000;59.6;0;-5815.91928;304.8;30.66088889;;AP;ANP2.1
108;GASEPF-A-1;A;1;5;0;0;0;58.7;0;0;0;30.19788889;;AP;ANP2.1
109;GASEPF-A-1;A;1;6;0;47.2;0;55.7;0;14.38656;0;28.65455556;;AP;ANP2.1
110;GASEPF-A-1;A;1;7;0;472;0;30;0;143.8656;0;15.43333333;;AP;ANP2.1
111;GASEPF-A-2;A;2;1;0;-68580.3;6000;109.4;0;-20903.27544;1828.8;56.28022222;;AP;ANP2.1
112;GASEPF-A-2;A;2;2;0;-34290.2;3000;71.8;0;-10451.65296;914.4;36.93711111;;AP;ANP2.1
113;GASEPF-A-2;A;2;3;0;-17145.1;1500;60;0;-5225.82648;457.2;30.86666667;;AP;ANP2.1
114;GASEPF-A-2;A;2;4;0;-11430.1;1000;59.6;0;-3483.89448;304.8;30.66088889;;AP;ANP2.1
115;GASEPF-A-2;A;2;5;0;0;0;58.7;0;0;0;30.19788889;;AP;ANP2.1
116;GASEPF-A-2;A;2;6;0;47.2;0;55.7;0;14.38656;0;28.65455556;;AP;ANP2.1
117;GASEPF-A-2;A;2;7;0;472;0;30;0;143.8656;0;15.43333333;;AP;ANP2.1
118;GASEPF-D-1;D;1;1;0;0;0;0;0;0;0;0;;TO;ANP2.1
119;GASEPF-D-1;D;1;2;0;738.3;0;62.1;0;225.03384;0;31.947;;TO;ANP2.1
120;GASEPF-D-1;D;1;3;0;1712.7;51.4;73.1;0;522.03096;15.66672;37.60588889;;TO;ANP2.1
121;GASEPF-D-1;D;1;4;0;12024.6;1000;74.1;0;3665.09808;304.8;38.12033333;;TO;ANP2.1
122;GASEPF-D-1;D;1;5;0;14194.8;1097.7;84.3;0;4326.57504;334.57896;43.36766667;;CL;ANP2.1
123;GASEPF-D-1;D;1;6;0;15194.8;1161.6;84.4;0;4631.37504;354.05568;43.41911111;;CL;ANP2.1
124;GASEPF-D-1;D;1;7;0;43986.2;3000;86.8;0;13406.99376;914.4;44.65377778;;CL;ANP2.1
125;GASEPF-D-1;D;1;8;0;87528.2;5500;90.1;0;26678.59536;1676.4;46.35144444;;CL;ANP2.1
126;GASEPF-D-1;D;1;9;0;126775.7;7500;92.9;0;38641.23336;2286;47.79188889;;CL;ANP2.1
127;GASEPF-D-1;D;1;10;0;182798.7;10000;96.6;0;55717.04376;3048;49.69533333;;CL;ANP2.1
128;GASEPF-D-2;D;2;1;0;0;0;0;0;0;0;0;;TO;ANP2.1
129;GASEPF-D-2;D;2;2;0;738.3;0;62.1;0;225.03384;0;31.947;;TO;ANP2.1
130;GASEPF-D-2;D;2;3;0;1712.7;51.4;73.1;0;522.03096;15.66672;37.60588889;;TO;ANP2.1
131;GASEPF-D-2;D;2;4;0;12024.6;1000;74.1;0;3665.09808;304.8;38.12033333;;TO;ANP2.1
132;GASEPF-D-2;D;2;5;0;14194.8;1097.7;84.3;0;4326.57504;334.57896;43.36766667;;CL;ANP2.1
133;GASEPF-D-2;D;2;6;0;15194.8;1161.6;84.4;0;4631.37504;354.05568;43.41911111;;CL;ANP2.1
134;GASEPF-D-2;D;2;7;0;43986.2;3000;86.8;0;13406.99376;914.4;44.65377778;;CL;ANP2.1
135;GASEPF-D-2;D;2;8;0;87528.2;5500;90.1;0;26678.59536;1676.4;46.35144444;;CL;ANP2.1
136;GASEPF-D-2;D;2;9;0;126775.7;7500;92.9;0;38641.23336;2286;47.79188889;;CL;ANP2.1
137;GASEPF-D-2;D;2;10;0;182798.7;10000;96.6;0;55717.04376;3048;49.69533333;;CL;ANP2.1
138;707-A-1;A;1;1;175000;-114487;6000;250;79378.6;-34895.6376;1828.8;128.611;0.059288538;AP;ANP2.2
139;707-A-1;A;1;2;175000;-57243;3000;124;79378.6;-17447.6664;914.4;63.791056;0.351778656;AP;ANP2.2
140;707-A-1;A;1;3;175000;-28622;1500;124;79378.6;-8723.9856;457.2;63.791056;0.354249012;AP;ANP2.2
141;707-A-1;A;1;4;175000;-19081;1000;124;79378.6;-5815.8888;304.8;63.791056;0.354249012;AP;ANP2.2
142;707-A-1;A;1;5;175000;0;0;124;79378.6;0;0;63.791056;0.354249012;AP;ANP2.2
143;707-A-1;A;1;6;175000;506;0;124;79378.6;154.2288;0;63.791056;0.4;AP;ANP2.2
144;707-A-1;A;1;7;175000;5060;0;30;79378.6;1542.288;0;15.43332;0.099802372;AP;ANP2.2
145;707-D-1;D;1;1;175000;0;0;35;79378.6;0;0;18.00554;1;TO;ANP2.2
146;707-D-1;D;1;2;175000;3963;0;141;79378.6;1207.9224;0;72.536604;1;TO;ANP2.2
147;707-D-1;D;1;3;175000;11856;1000;141;79378.6;3613.7088;304.8;72.536604;1;TO;ANP2.2
148;707-D-1;D;1;4;175000;15071;1262;151;79378.6;4593.6408;384.6576;77.681044;1;CL;ANP2.2
149;707-D-1;D;1;5;175000;16071;1336;154;79378.6;4898.4408;407.2128;79.224376;0.9;CL;ANP2.2
150;707-D-1;D;1;6;175000;21854;1743;171;79378.6;6661.0992;531.2664;87.969924;0.9;CL;ANP2.2
151;707-D-1;D;1;7;175000;26167;2043;191;79378.6;7975.7016;622.7064;98.258804;0.9;CL;ANP2.2
152;707-D-1;D;1;8;175000;33607;3000;191;79378.6;10243.4136;914.4;98.258804;0.9;CL;ANP2.2
153;707-D-1;D;1;9;175000;50032;3884;250;79378.6;15249.7536;1183.8432;128.611;0.9;CL;ANP2.2
154;707-D-1;D;1;10;175000;64678;5500;250;79378.6;19713.8544;1676.4;128.611;0.9;CL;ANP2.2
155;707-D-1;D;1;11;175000;84775;7500;250;79378.6;25839.42;2286;128.611;0.9;CL;ANP2.2
156;707-D-1;D;1;12;175000;113530;10000;250;79378.6;34603.944;3048;128.611;0.9;CL;ANP2.2
157;707-D-2;D;2;1;185000;0;0;35;83914.52;0;0;18.00554;1;TO;ANP2.2
158;707-D-2;D;2;2;185000;4429;0;145;83914.52;1349.9592;0;74.59438;1;TO;ANP2.2
159;707-D-2;D;2;3;185000;13188;1000;145;83914.52;4019.7024;304.8;74.59438;1;TO;ANP2.2
160;707-D-2;D;2;4;185000;16777;1261;155;83914.52;5113.6296;384.3528;79.73882;1;CL;ANP2.2
161;707-D-2;D;2;5;185000;17777;1327;158;83914.52;5418.4296;404.4696;81.282152;0.9;CL;ANP2.2
162;707-D-2;D;2;6;185000;23903;1731;175;83914.52;7285.6344;527.6088;90.0277;0.9;CL;ANP2.2
163;707-D-2;D;2;7;185000;28831;2021;195;83914.52;8787.6888;616.0008;100.31658;0.9;CL;ANP2.2
164;707-D-2;D;2;8;185000;37100;3000;195;83914.52;11308.08;914.4;100.31658;0.9;CL;ANP2.2
165;707-D-2;D;2;9;185000;53610;3807;250;83914.52;16340.328;1160.3736;128.611;0.9;CL;ANP2.2
166;707-D-2;D;2;10;185000;70261;5500;250;83914.52;21415.5528;1676.4;128.611;0.9;CL;ANP2.2
167;707-D-2;D;2;11;185000;92180;7500;250;83914.52;28096.464;2286;128.611;0.9;CL;ANP2.2
168;707-D-2;D;2;12;185000;123675;10000;250;83914.52;37696.14;3048;128.611;0.9;CL;ANP2.2
169;707-D-3;D;3;1;200000;0;0;35;90718.4;0;0;18.00554;1;TO;ANP2.2
170;707-D-3;D;3;2;200000;5176;0;149;90718.4;1577.6448;0;76.652156;1;TO;ANP2.2
171;707-D-3;D;3;3;200000;15387;1000;149;90718.4;4689.9576;304.8;76.652156;1;TO;ANP2.2
172;707-D-3;D;3;4;200000;19138;1217;159;90718.4;5833.2624;370.9416;81.796596;1;CL;ANP2.2
173;707-D-3;D;3;5;200000;20138;1270;162;90718.4;6138.0624;387.096;83.339928;0.9;CL;ANP2.2
174;707-D-3;D;3;6;200000;26414;1600;179;90718.4;8050.9872;487.68;92.085476;0.9;CL;ANP2.2
175;707-D-3;D;3;7;200000;31515;1840;199;90718.4;9605.772;560.832;102.374356;0.9;CL;ANP2.2
176;707-D-3;D;3;8;200000;42489;3000;199;90718.4;12950.6472;914.4;102.374356;0.9;CL;ANP2.2
177;707-D-3;D;3;9;200000;58611;3639;250;90718.4;17864.6328;1109.1672;128.611;0.9;CL;ANP2.2
178;707-D-3;D;3;10;200000;79178;5500;250;90718.4;24133.4544;1676.4;128.611;0.9;CL;ANP2.2
179;707-D-3;D;3;11;200000;104049;7500;250;90718.4;31714.1352;2286;128.611;0.9;CL;ANP2.2
180;707-D-3;D;3;12;200000;140036;10000;250;90718.4;42682.9728;3048;128.611;0.9;CL;ANP2.2
181;707-D-4;D;4;1;220000;0;0;35;99790.24;0;0;18.00554;1;TO;ANP2.2
182;707-D-4;D;4;2;220000;6263;0;156;99790.24;1908.9624;0;80.253264;1;TO;ANP2.2
183;707-D-4;D;4;3;220000;18791;1000;156;99790.24;5727.4968;304.8;80.253264;1;TO;ANP2.2
184;707-D-4;D;4;4;220000;24025;1257;166;99790.24;7322.82;383.1336;85.397704;1;CL;ANP2.2
185;707-D-4;D;4;5;220000;25025;1302;168;99790.24;7627.62;396.8496;86.426592;0.9;CL;ANP2.2
186;707-D-4;D;4;6;220000;33512;1683;186;99790.24;10214.4576;512.9784;95.686584;0.9;CL;ANP2.2
187;707-D-4;D;4;7;220000;39650;1931;206;99790.24;12085.32;588.5688;105.975464;0.9;CL;ANP2.2
188;707-D-4;D;4;8;220000;51477;3000;206;99790.24;15690.1896;914.4;105.975464;0.9;CL;ANP2.2
189;707-D-4;D;4;9;220000;68056;3575;250;99790.24;20743.4688;1089.66;128.611;0.9;CL;ANP2.2
190;707-D-4;D;4;10;220000;91865;5500;250;99790.24;28000.452;1676.4;128.611;0.9;CL;ANP2.2
191;707-D-4;D;4;11;220000;122142;7500;250;99790.24;37228.8816;2286;128.611;0.9;CL;ANP2.2
192;707-D-4;D;4;12;220000;164959;10000;250;99790.24;50279.5032;3048;128.611;0.9;CL;ANP2.2
193;707-D-5;D;5;1;245000;0;0;35;111130.04;0;0;18.00554;1;TO;ANP2.2
194;707-D-5;D;5;2;245000;7767;0;163;111130.04;2367.3816;0;83.854372;1;TO;ANP2.2
195;707-D-5;D;5;3;245000;24013;1000;163;111130.04;7319.1624;304.8;83.854372;1;TO;ANP2.2
196;707-D-5;D;5;4;245000;30363;1224;173;111130.04;9254.6424;373.0752;88.998812;1;CL;ANP2.2
197;707-D-5;D;5;5;245000;31363;1276;175;111130.04;9559.4424;388.9248;90.0277;0.9;CL;ANP2.2
198;707-D-5;D;5;6;245000;41136;1573;193;111130.04;12538.2528;479.4504;99.287692;0.9;CL;ANP2.2
199;707-D-5;D;5;7;245000;47922;1771;213;111130.04;14606.6256;539.8008;109.576572;0.9;CL;ANP2.2
200;707-D-5;D;5;8;245000;64158;3000;213;111130.04;19555.3584;914.4;109.576572;0.9;CL;ANP2.2
201;707-D-5;D;5;9;245000;79744;3399;250;111130.04;24305.9712;1036.0152;128.611;0.9;CL;ANP2.2
202;707-D-5;D;5;10;245000;112222;5500;250;111130.04;34205.2656;1676.4;128.611;0.9;CL;ANP2.2
203;707-D-5;D;5;11;245000;147937;7500;250;111130.04;45091.1976;2286;128.611;0.9;CL;ANP2.2
204;707-D-5;D;5;12;245000;201000;10000;250;111130.04;61264.8;3048;128.611;0.9;CL;ANP2.2
205;707-D-6;D;6;1;257000;0;0;35;116573.144;0;0;18.00554;1;TO;ANP2.2
206;707-D-6;D;6;2;257000;8547;0;166;116573.144;2605.1256;0;85.397704;1;TO;ANP2.2
207;707-D-6;D;6;3;257000;27030;1000;166;116573.144;8238.744;304.8;85.397704;1;TO;ANP2.2
208;707-D-6;D;6;4;257000;36301;1321;176;116573.144;11064.5448;402.6408;90.542144;1;CL;ANP2.2
209;707-D-6;D;6;5;257000;37301;1353;177;116573.144;11369.3448;412.3944;91.056588;0.9;CL;ANP2.2
210;707-D-6;D;6;6;257000;50473;1773;196;116573.144;15384.1704;540.4104;100.831024;0.9;CL;ANP2.2
211;707-D-6;D;6;7;257000;58441;2002;216;116573.144;17812.8168;610.2096;111.119904;0.9;CL;ANP2.2
212;707-D-6;D;6;8;257000;72904;3000;216;116573.144;22221.1392;914.4;111.119904;0.9;CL;ANP2.2
213;707-D-6;D;6;9;257000;89375;3419;250;116573.144;27241.5;1042.1112;128.611;0.9;CL;ANP2.2
214;707-D-6;D;6;10;257000;124537;5500;250;116573.144;37958.8776;1676.4;128.611;0.9;CL;ANP2.2
215;707-D-6;D;6;11;257000;163793;7500;250;116573.144;49924.1064;2286;128.611;0.9;CL;ANP2.2
216;707-D-6;D;6;12;257000;222644;10000;250;116573.144;67861.8912;3048;128.611;0.9;CL;ANP2.2
217;737-A-1;A;1;1;82000;-114486.8;6000;272;37194.544;-34895.57664;1828.8;139.928768;0.051310345;AP;ANP2.2
218;737-A-1;A;1;2;82000;-58243.4;3052.4;178.9;37194.544;-17752.58832;930.37152;92.0340316;0.045964828;AP;ANP2.2
219;737-A-1;A;1;3;82000;-57243.4;3000;176.8;37194.544;-17447.78832;914.4;90.9536992;0.117102069;AP;ANP2.2
220;737-A-1;A;1;4;82000;-29621.7;1552.4;138.4;37194.544;-9028.69416;473.17152;71.1990496;0.111037931;AP;ANP2.2
221;737-A-1;A;1;5;82000;-28621.7;1500;136.8;37194.544;-8723.89416;457.2;70.3759392;0.200571724;AP;ANP2.2
222;737-A-1;A;1;6;82000;-20081.1;1052.4;133.2;37194.544;-6120.71928;320.77152;68.5239408;0.197323448;AP;ANP2.2
223;737-A-1;A;1;7;82000;-19081.1;1000;132.8;37194.544;-5815.91928;304.8;68.3181632;0.234234483;AP;ANP2.2
224;737-A-1;A;1;8;82000;-1000;52.4;130.9;37194.544;-304.8;15.97152;67.3407196;0.226317241;AP;ANP2.2
225;737-A-1;A;1;9;82000;0;0;130.8;37194.544;0;0;67.2892752;0.225926207;AP;ANP2.2
226;737-A-1;A;1;10;82000;255.6;0;124.2;37194.544;77.90688;0;63.8939448;0.4;AP;ANP2.2
227;737-A-1;A;1;11;82000;2300.4;0;29.8;37194.544;701.16192;0;15.3304312;0.1;AP;ANP2.2
228;737-D-1;D;1;1;82000;0;0;0;37194.544;0;0;0;0.95488;TO;ANP2.2
229;737-D-1;D;1;2;82000;3054.1;0;135.5;37194.544;930.88968;0;69.707162;0.873882759;TO;ANP2.2
230;737-D-1;D;1;3;82000;7504.3;1000;137.5;37194.544;2287.31064;304.8;70.73605;0.871850345;TO;ANP2.2
231;737-D-1;D;1;4;82000;9489.1;1301.8;148.1;37194.544;2892.27768;396.78864;76.1891564;0.865366897;CL;ANP2.2
232;737-D-1;D;1;5;82000;12536.9;1609;174.2;37194.544;3821.24712;490.4232;89.6161448;0.849851724;CL;ANP2.2
233;737-D-1;D;1;6;82000;13230.9;1734.6;174.5;37194.544;4032.77832;528.70608;89.770478;0.781622069;CL;ANP2.2
234;737-D-1;D;1;7;82000;17261.8;1860.2;214.7;37194.544;5261.39664;566.98896;110.4511268;0.760033103;CL;ANP2.2
